ContentsCode_kode,år_kode,geografi_kode,kjønn_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,geografi_navn,kjønn_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,30106,1,2,0,ok-sos001,2012,Ullern,Menn,30-39,Antall mottakere av AAP,51
EliminatedValue,0,30106,1,3,0,ok-sos001,2012,Ullern,Menn,40-49,Antall mottakere av AAP,64
EliminatedValue,0,30106,1,4,0,ok-sos001,2012,Ullern,Menn,50-59,Antall mottakere av AAP,75
EliminatedValue,0,30106,1,5,0,ok-sos001,2012,Ullern,Menn,60+,Antall mottakere av AAP,40
EliminatedValue,0,30106,2,0,0,ok-sos001,2012,Ullern,Kvinner,Alder i alt,Antall mottakere av AAP,411
EliminatedValue,0,30106,2,1,0,ok-sos001,2012,Ullern,Kvinner,Under 30,Antall mottakere av AAP,48
EliminatedValue,0,30106,2,2,0,ok-sos001,2012,Ullern,Kvinner,30-39,Antall mottakere av AAP,67
EliminatedValue,0,30106,2,3,0,ok-sos001,2012,Ullern,Kvinner,40-49,Antall mottakere av AAP,121
EliminatedValue,0,30106,2,4,0,ok-sos001,2012,Ullern,Kvinner,50-59,Antall mottakere av AAP,129
EliminatedValue,0,30106,2,5,0,ok-sos001,2012,Ullern,Kvinner,60+,Antall mottakere av AAP,46
EliminatedValue,0,30107,0,0,0,ok-sos001,2012,Vestre Aker,Begge kjønn,Alder i alt,Antall mottakere av AAP,971
EliminatedValue,0,30107,0,1,0,ok-sos001,2012,Vestre Aker,Begge kjønn,Under 30,Antall mottakere av AAP,119
EliminatedValue,0,30107,0,2,0,ok-sos001,2012,Vestre Aker,Begge kjønn,30-39,Antall mottakere av AAP,188
EliminatedValue,0,30107,0,3,0,ok-sos001,2012,Vestre Aker,Begge kjønn,40-49,Antall mottakere av AAP,268
EliminatedValue,0,30107,0,4,0,ok-sos001,2012,Vestre Aker,Begge kjønn,50-59,Antall mottakere av AAP,265
EliminatedValue,0,30107,0,5,0,ok-sos001,2012,Vestre Aker,Begge kjønn,60+,Antall mottakere av AAP,131
EliminatedValue,0,30107,1,0,0,ok-sos001,2012,Vestre Aker,Menn,Alder i alt,Antall mottakere av AAP,338
EliminatedValue,0,30107,1,1,0,ok-sos001,2012,Vestre Aker,Menn,Under 30,Antall mottakere av AAP,49
EliminatedValue,0,30107,1,2,0,ok-sos001,2012,Vestre Aker,Menn,30-39,Antall mottakere av AAP,80
EliminatedValue,0,30107,1,3,0,ok-sos001,2012,Vestre Aker,Menn,40-49,Antall mottakere av AAP,73
EliminatedValue,0,30107,1,4,0,ok-sos001,2012,Vestre Aker,Menn,50-59,Antall mottakere av AAP,92
