ContentsCode_kode,år_kode,geografi_kode,alder_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,geografi_navn,alder_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,3,0,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,I alt,Andel sosialhjelpsmottakere i befolkningen,5.9
EliminatedValue,0,3,0,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,I alt,Antall sosialhjelpsmottakere,2153
EliminatedValue,0,3,1,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,Under 20 år,Andel sosialhjelpsmottakere i befolkningen,4.9
EliminatedValue,0,3,1,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,Under 20 år,Antall sosialhjelpsmottakere,28
EliminatedValue,0,3,2,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,20-24 år,Andel sosialhjelpsmottakere i befolkningen,4.7
EliminatedValue,0,3,2,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,20-24 år,Antall sosialhjelpsmottakere,165
EliminatedValue,0,3,3,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,25-29 år,Andel sosialhjelpsmottakere i befolkningen,3.4
EliminatedValue,0,3,3,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,25-29 år,Antall sosialhjelpsmottakere,267
EliminatedValue,0,3,4,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,30-39 år,Andel sosialhjelpsmottakere i befolkningen,5.5
EliminatedValue,0,3,4,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,30-39 år,Antall sosialhjelpsmottakere,656
EliminatedValue,0,3,5,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,40-49 år,Andel sosialhjelpsmottakere i befolkningen,11.2
EliminatedValue,0,3,5,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,40-49 år,Antall sosialhjelpsmottakere,573
EliminatedValue,0,3,6,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,50-66 år,Andel sosialhjelpsmottakere i befolkningen,8.4
EliminatedValue,0,3,6,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,50-66 år,Antall sosialhjelpsmottakere,421
EliminatedValue,0,3,7,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,67 år og over,Andel sosialhjelpsmottakere i befolkningen,1.7
EliminatedValue,0,3,7,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Grünerløkka,67 år og over,Antall sosialhjelpsmottakere,43
