ContentsCode_kode,år_kode,bosted_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bosted_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,6,5,0,BEF005,2017,Bydel Ullern,10-12 år,antall,1180
EliminatedValue,0,6,6,0,BEF005,2017,Bydel Ullern,13-15 år,antall,1015
EliminatedValue,0,6,7,0,BEF005,2017,Bydel Ullern,16-17 år,antall,628
EliminatedValue,0,6,8,0,BEF005,2017,Bydel Ullern,18-19 år,antall,611
EliminatedValue,0,6,9,0,BEF005,2017,Bydel Ullern,20-22 år,antall,909
EliminatedValue,0,6,10,0,BEF005,2017,Bydel Ullern,23-24 år,antall,642
EliminatedValue,0,6,11,0,BEF005,2017,Bydel Ullern,25-29 år,antall,2071
EliminatedValue,0,6,12,0,BEF005,2017,Bydel Ullern,30-39 år,antall,4871
EliminatedValue,0,6,13,0,BEF005,2017,Bydel Ullern,40-49 år,antall,4659
EliminatedValue,0,6,14,0,BEF005,2017,Bydel Ullern,50-66 år,antall,6746
EliminatedValue,0,6,15,0,BEF005,2017,Bydel Ullern,67-74 år,antall,2965
EliminatedValue,0,6,16,0,BEF005,2017,Bydel Ullern,75-79 år,antall,1040
EliminatedValue,0,6,17,0,BEF005,2017,Bydel Ullern,80-84 år,antall,698
EliminatedValue,0,6,18,0,BEF005,2017,Bydel Ullern,85-89 år,antall,505
EliminatedValue,0,6,19,0,BEF005,2017,Bydel Ullern,90-94 år,antall,294
EliminatedValue,0,6,20,0,BEF005,2017,Bydel Ullern,95+ år,antall,92
EliminatedValue,0,7,0,0,BEF005,2017,Bydel Vestre Aker,Alder i alt,antall,49183
EliminatedValue,0,7,1,0,BEF005,2017,Bydel Vestre Aker,0 år,antall,611
EliminatedValue,0,7,2,0,BEF005,2017,Bydel Vestre Aker,1-2 år,antall,1378
EliminatedValue,0,7,3,0,BEF005,2017,Bydel Vestre Aker,3-5 år,antall,2099
EliminatedValue,0,7,4,0,BEF005,2017,Bydel Vestre Aker,6-9 år,antall,2838
EliminatedValue,0,7,5,0,BEF005,2017,Bydel Vestre Aker,10-12 år,antall,1946
EliminatedValue,0,7,6,0,BEF005,2017,Bydel Vestre Aker,13-15 år,antall,1690
EliminatedValue,0,7,7,0,BEF005,2017,Bydel Vestre Aker,16-17 år,antall,1106
EliminatedValue,0,7,8,0,BEF005,2017,Bydel Vestre Aker,18-19 år,antall,1070
EliminatedValue,0,7,9,0,BEF005,2017,Bydel Vestre Aker,20-22 år,antall,1620
EliminatedValue,0,7,10,0,BEF005,2017,Bydel Vestre Aker,23-24 år,antall,979
EliminatedValue,0,7,11,0,BEF005,2017,Bydel Vestre Aker,25-29 år,antall,2898
EliminatedValue,0,7,12,0,BEF005,2017,Bydel Vestre Aker,30-39 år,antall,6808
EliminatedValue,0,7,13,0,BEF005,2017,Bydel Vestre Aker,40-49 år,antall,7133
EliminatedValue,0,7,14,0,BEF005,2017,Bydel Vestre Aker,50-66 år,antall,9799
EliminatedValue,0,7,15,0,BEF005,2017,Bydel Vestre Aker,67-74 år,antall,3895
EliminatedValue,0,7,16,0,BEF005,2017,Bydel Vestre Aker,75-79 år,antall,1284
EliminatedValue,0,7,17,0,BEF005,2017,Bydel Vestre Aker,80-84 år,antall,834
