brukergruppe,aar,manedsnr,ant_husstander_utbetaling,ant_husstander_termin,ant_soknader,ant_avslag,utbetalt_belop,gjsnitt_bostotte,gjsnitt_inntekt_mnd,gjsnitt_boutgift_mnd,ant_over_tak,geo
Uføre forøvrig,2025,10,9552,9424,12252,2828,23536054,2463.99,23954.07,11668.86,7574,Norge
Uføre forøvrig,2025,11,9424,9588,12463,2875,23305634,2473.01,23944.06,11712.23,7524,Norge
Uføre forøvrig,2025,12,9588,9572,12178,2606,23717695,2473.69,23987.64,11773.04,7708,Norge
Uføre forøvrig,2026,1,9572,9590,12428,2838,23816283,2488.12,23953.04,11811.32,7703,Norge
Uføre forøvrig,2026,2,9590,9614,12431,2817,23934732,2495.8,23983.93,11878.96,7756,Norge
Uføre forøvrig,2026,3,9614,9637,12733,3096,23988998,2495.22,24051.34,11931.83,7820,Norge
Uføre forøvrig,2026,4,9637,9585,12463,2878,24135746,2504.49,24076.23,11999.82,7872,Norge
Uføre forøvrig,2026,5,9585,9453,12417,2964,24181243,2522.82,24020.79,12043.07,7860,Norge
Uføre forøvrig,2026,6,9453,8717,12301,3584,23957741,2534.41,24078.08,12121.03,7775,Norge
Uføre forøvrig,2026,7,8717,0,0,0,22951040,2632.91,24682.15,12287.17,6974,Norge
Unge uføre,2010,1,0,16257,16258,1,0,,,,0,Norge
Unge uføre,2010,2,16257,16532,16534,2,28532513,1755.09,15489.94,5923.4,9605,Norge
Unge uføre,2010,3,16532,16753,16756,3,29043280,1756.79,15479.01,5933.12,9809,Norge
Unge uføre,2010,4,16753,16985,16986,1,29446796,1757.7,15471.61,5942.68,9995,Norge
Unge uføre,2010,5,16985,17052,17242,190,29855197,1757.74,15470.39,5950.72,10175,Norge
Unge uføre,2010,6,17052,17057,17243,186,29999857,1759.32,15461.57,5960.31,10277,Norge
Unge uføre,2010,7,17057,16356,17286,930,30034765,1760.85,15456.77,5967.78,10316,Norge
Unge uføre,2010,8,16356,16361,16534,173,28343174,1732.89,16173.55,5981.28,9944,Norge
Unge uføre,2010,9,16361,16395,16630,235,28364837,1733.69,16162.3,5993.67,10028,Norge
Unge uføre,2010,10,16395,16411,16682,271,28400486,1732.27,16149.72,6000.72,10124,Norge
Unge uføre,2010,11,16411,16455,16678,223,28286238,1723.61,16177.74,6005.87,10172,Norge
Unge uføre,2010,12,16455,16477,16651,174,28372100,1724.22,16169.85,6012.93,10233,Norge
Unge uføre,2011,1,16477,16483,16808,325,28393167,1723.2,16161.64,6019.54,10285,Norge
Unge uføre,2011,2,16483,16574,16863,289,28485304,1728.16,16154.55,6044.4,10518,Norge
Unge uføre,2011,3,16574,16584,16821,237,28608770,1726.12,16144.46,6047.64,10574,Norge
Unge uføre,2011,4,16584,16612,16846,234,28689396,1729.94,16139.9,6071.67,10719,Norge
Unge uføre,2011,5,16612,16629,16804,175,28711091,1728.33,16132.25,6074.35,10744,Norge
Unge uføre,2011,6,16629,16636,16829,193,28770443,1730.14,16124.43,6080.07,10825,Norge
Unge uføre,2011,7,16636,15520,16914,1394,28879521,1735.97,16118.05,6091.66,10863,Norge
Unge uføre,2011,8,15520,15578,15816,238,26131707,1683.74,16666.91,6125.99,10168,Norge
Unge uføre,2011,9,15578,15642,15859,217,26185084,1680.9,16670.08,6139.41,10275,Norge
Unge uføre,2011,10,15642,15613,15922,309,26272928,1679.64,16668.99,6147.82,10324,Norge
