ContentsCode_kode,år_kode,bosted_kode,kjønn_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bosted_navn,kjønn_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,30105,0,1,0,ok-sos006,2004,Frogner,I alt,18-29,antall personer,32
EliminatedValue,0,30105,0,2,0,ok-sos006,2004,Frogner,I alt,30-39,antall personer,141
EliminatedValue,0,30105,0,3,0,ok-sos006,2004,Frogner,I alt,40-49,antall personer,253
EliminatedValue,0,30105,0,4,0,ok-sos006,2004,Frogner,I alt,50-59,antall personer,645
EliminatedValue,0,30105,0,5,0,ok-sos006,2004,Frogner,I alt,60-67,antall personer,656
EliminatedValue,0,30105,1,0,0,ok-sos006,2004,Frogner,Kvinner,I alt,antall personer,1019
EliminatedValue,0,30105,1,1,0,ok-sos006,2004,Frogner,Kvinner,18-29,antall personer,16
EliminatedValue,0,30105,1,2,0,ok-sos006,2004,Frogner,Kvinner,30-39,antall personer,66
EliminatedValue,0,30105,1,3,0,ok-sos006,2004,Frogner,Kvinner,40-49,antall personer,136
EliminatedValue,0,30105,1,4,0,ok-sos006,2004,Frogner,Kvinner,50-59,antall personer,396
EliminatedValue,0,30105,1,5,0,ok-sos006,2004,Frogner,Kvinner,60-67,antall personer,405
EliminatedValue,0,30105,2,0,0,ok-sos006,2004,Frogner,Menn,I alt,antall personer,708
EliminatedValue,0,30105,2,1,0,ok-sos006,2004,Frogner,Menn,18-29,antall personer,16
EliminatedValue,0,30105,2,2,0,ok-sos006,2004,Frogner,Menn,30-39,antall personer,75
EliminatedValue,0,30105,2,3,0,ok-sos006,2004,Frogner,Menn,40-49,antall personer,117
EliminatedValue,0,30105,2,4,0,ok-sos006,2004,Frogner,Menn,50-59,antall personer,249
EliminatedValue,0,30105,2,5,0,ok-sos006,2004,Frogner,Menn,60-67,antall personer,251
EliminatedValue,0,30106,0,0,0,ok-sos006,2004,Ullern,I alt,I alt,antall personer,865
EliminatedValue,0,30106,0,1,0,ok-sos006,2004,Ullern,I alt,18-29,antall personer,32
EliminatedValue,0,30106,0,2,0,ok-sos006,2004,Ullern,I alt,30-39,antall personer,67
EliminatedValue,0,30106,0,3,0,ok-sos006,2004,Ullern,I alt,40-49,antall personer,120
EliminatedValue,0,30106,0,4,0,ok-sos006,2004,Ullern,I alt,50-59,antall personer,316
EliminatedValue,0,30106,0,5,0,ok-sos006,2004,Ullern,I alt,60-67,antall personer,330
EliminatedValue,0,30106,1,0,0,ok-sos006,2004,Ullern,Kvinner,I alt,antall personer,562
EliminatedValue,0,30106,1,1,0,ok-sos006,2004,Ullern,Kvinner,18-29,antall personer,8
EliminatedValue,0,30106,1,2,0,ok-sos006,2004,Ullern,Kvinner,30-39,antall personer,36
EliminatedValue,0,30106,1,3,0,ok-sos006,2004,Ullern,Kvinner,40-49,antall personer,79
EliminatedValue,0,30106,1,4,0,ok-sos006,2004,Ullern,Kvinner,50-59,antall personer,212
EliminatedValue,0,30106,1,5,0,ok-sos006,2004,Ullern,Kvinner,60-67,antall personer,227
EliminatedValue,0,30106,2,0,0,ok-sos006,2004,Ullern,Menn,I alt,antall personer,303
EliminatedValue,0,30106,2,1,0,ok-sos006,2004,Ullern,Menn,18-29,antall personer,24
EliminatedValue,0,30106,2,2,0,ok-sos006,2004,Ullern,Menn,30-39,antall personer,31
EliminatedValue,0,30106,2,3,0,ok-sos006,2004,Ullern,Menn,40-49,antall personer,41
EliminatedValue,0,30106,2,4,0,ok-sos006,2004,Ullern,Menn,50-59,antall personer,104
EliminatedValue,0,30106,2,5,0,ok-sos006,2004,Ullern,Menn,60-67,antall personer,103
EliminatedValue,0,30107,0,0,0,ok-sos006,2004,Vestre Aker,I alt,I alt,antall personer,1260
EliminatedValue,0,30107,0,1,0,ok-sos006,2004,Vestre Aker,I alt,18-29,antall personer,46
EliminatedValue,0,30107,0,2,0,ok-sos006,2004,Vestre Aker,I alt,30-39,antall personer,83
EliminatedValue,0,30107,0,3,0,ok-sos006,2004,Vestre Aker,I alt,40-49,antall personer,224
EliminatedValue,0,30107,0,4,0,ok-sos006,2004,Vestre Aker,I alt,50-59,antall personer,458
EliminatedValue,0,30107,0,5,0,ok-sos006,2004,Vestre Aker,I alt,60-67,antall personer,449
EliminatedValue,0,30107,1,0,0,ok-sos006,2004,Vestre Aker,Kvinner,I alt,antall personer,808
EliminatedValue,0,30107,1,1,0,ok-sos006,2004,Vestre Aker,Kvinner,18-29,antall personer,18
EliminatedValue,0,30107,1,2,0,ok-sos006,2004,Vestre Aker,Kvinner,30-39,antall personer,37
EliminatedValue,0,30107,1,3,0,ok-sos006,2004,Vestre Aker,Kvinner,40-49,antall personer,152
EliminatedValue,0,30107,1,4,0,ok-sos006,2004,Vestre Aker,Kvinner,50-59,antall personer,311
EliminatedValue,0,30107,1,5,0,ok-sos006,2004,Vestre Aker,Kvinner,60-67,antall personer,290
EliminatedValue,0,30107,2,0,0,ok-sos006,2004,Vestre Aker,Menn,I alt,antall personer,452
EliminatedValue,0,30107,2,1,0,ok-sos006,2004,Vestre Aker,Menn,18-29,antall personer,28
EliminatedValue,0,30107,2,2,0,ok-sos006,2004,Vestre Aker,Menn,30-39,antall personer,46
EliminatedValue,0,30107,2,3,0,ok-sos006,2004,Vestre Aker,Menn,40-49,antall personer,72
EliminatedValue,0,30107,2,4,0,ok-sos006,2004,Vestre Aker,Menn,50-59,antall personer,147
EliminatedValue,0,30107,2,5,0,ok-sos006,2004,Vestre Aker,Menn,60-67,antall personer,159
EliminatedValue,0,30108,0,0,0,ok-sos006,2004,Nordre Aker,I alt,I alt,antall personer,1346
EliminatedValue,0,30108,0,1,0,ok-sos006,2004,Nordre Aker,I alt,18-29,antall personer,40
EliminatedValue,0,30108,0,2,0,ok-sos006,2004,Nordre Aker,I alt,30-39,antall personer,110
EliminatedValue,0,30108,0,3,0,ok-sos006,2004,Nordre Aker,I alt,40-49,antall personer,224
EliminatedValue,0,30108,0,4,0,ok-sos006,2004,Nordre Aker,I alt,50-59,antall personer,497
EliminatedValue,0,30108,0,5,0,ok-sos006,2004,Nordre Aker,I alt,60-67,antall personer,475
EliminatedValue,0,30108,1,0,0,ok-sos006,2004,Nordre Aker,Kvinner,I alt,antall personer,803
EliminatedValue,0,30108,1,1,0,ok-sos006,2004,Nordre Aker,Kvinner,18-29,antall personer,18
EliminatedValue,0,30108,1,2,0,ok-sos006,2004,Nordre Aker,Kvinner,30-39,antall personer,50
