Soner2_kode,AntRom_kode,ContentsCode_kode,Tid_kode,Soner2_navn,AntRom_navn,ContentsCode_navn,Tid_navn,verdi
00,4,Husleiear,2023,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2023,1940
00,4,Husleiear,2024,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2024,1980
00,4,Husleiear,2025,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2025,2180
00,5+,Husleie,2012,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2012,9160
00,5+,Husleie,2013,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2013,9230
00,5+,Husleie,2014,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2014,9450
00,5+,Husleie,2015,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2015,9780
00,5+,Husleie,2016,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2016,11470
00,5+,Husleie,2017,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2017,11740
00,5+,Husleie,2018,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2018,12520
00,5+,Husleie,2019,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2019,12880
00,5+,Husleie,2020,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2020,13790
00,5+,Husleie,2021,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2021,13820
00,5+,Husleie,2022,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2022,14180
00,5+,Husleie,2023,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2023,15290
00,5+,Husleie,2024,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2024,16140
00,5+,Husleie,2025,Hele landet,5 rom eller flere,Gjennomsnittlig månedlig leie,2025,16330
00,5+,Husleiear,2012,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2012,940
00,5+,Husleiear,2013,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2013,980
00,5+,Husleiear,2014,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2014,1040
00,5+,Husleiear,2015,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2015,1050
00,5+,Husleiear,2016,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2016,1270
00,5+,Husleiear,2017,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2017,1450
00,5+,Husleiear,2018,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2018,1500
00,5+,Husleiear,2019,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2019,1550
00,5+,Husleiear,2020,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2020,1510
00,5+,Husleiear,2021,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2021,1450
00,5+,Husleiear,2022,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2022,1470
00,5+,Husleiear,2023,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2023,1580
00,5+,Husleiear,2024,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2024,1650
00,5+,Husleiear,2025,Hele landet,5 rom eller flere,Gjennomsnittlig årlig leie per kvm,2025,1710
01,1,Husleie,2012,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2012,6300
01,1,Husleie,2013,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2013,6810
01,1,Husleie,2014,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2014,6930
01,1,Husleie,2015,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2015,7170
01,1,Husleie,2016,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2016,7740
01,1,Husleie,2017,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2017,8160
01,1,Husleie,2018,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2018,8750
01,1,Husleie,2019,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2019,8930
01,1,Husleie,2020,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2020,8750
01,1,Husleie,2021,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2021,8860
01,1,Husleie,2022,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2022,9660
01,1,Husleie,2023,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2023,10410
01,1,Husleie,2024,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2024,9730
01,1,Husleie,2025,Oslo og Bærum kommune,1 rom,Gjennomsnittlig månedlig leie,2025,10090
01,1,Husleiear,2012,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2012,2720
01,1,Husleiear,2013,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2013,2980
01,1,Husleiear,2014,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2014,3120
01,1,Husleiear,2015,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2015,3260
01,1,Husleiear,2016,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2016,3360
01,1,Husleiear,2017,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2017,3490
01,1,Husleiear,2018,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2018,3620
01,1,Husleiear,2019,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2019,3700
01,1,Husleiear,2020,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2020,3920
01,1,Husleiear,2021,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2021,4210
01,1,Husleiear,2022,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2022,4470
01,1,Husleiear,2023,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2023,5020
01,1,Husleiear,2024,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2024,5320
01,1,Husleiear,2025,Oslo og Bærum kommune,1 rom,Gjennomsnittlig årlig leie per kvm,2025,5270
01,2,Husleie,2012,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2012,8500
01,2,Husleie,2013,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2013,9000
01,2,Husleie,2014,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2014,9320
01,2,Husleie,2015,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2015,9900
01,2,Husleie,2016,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2016,10200
01,2,Husleie,2017,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2017,10710
01,2,Husleie,2018,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2018,11240
01,2,Husleie,2019,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2019,11650
01,2,Husleie,2020,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2020,12080
01,2,Husleie,2021,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2021,12310
01,2,Husleie,2022,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2022,12770
01,2,Husleie,2023,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2023,13850
01,2,Husleie,2024,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2024,14400
01,2,Husleie,2025,Oslo og Bærum kommune,2 rom,Gjennomsnittlig månedlig leie,2025,15260
01,2,Husleiear,2012,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2012,2120
01,2,Husleiear,2013,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2013,2280
01,2,Husleiear,2014,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2014,2420
01,2,Husleiear,2015,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2015,2540
01,2,Husleiear,2016,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2016,2700
01,2,Husleiear,2017,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2017,2780
01,2,Husleiear,2018,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2018,2910
01,2,Husleiear,2019,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2019,3050
01,2,Husleiear,2020,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2020,3180
01,2,Husleiear,2021,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2021,3240
01,2,Husleiear,2022,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2022,3390
01,2,Husleiear,2023,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2023,3600
01,2,Husleiear,2024,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2024,3810
01,2,Husleiear,2025,Oslo og Bærum kommune,2 rom,Gjennomsnittlig årlig leie per kvm,2025,4060
01,3,Husleie,2012,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2012,10750
01,3,Husleie,2013,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2013,11370
01,3,Husleie,2014,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2014,11750
01,3,Husleie,2015,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2015,12460
01,3,Husleie,2016,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2016,12880
01,3,Husleie,2017,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2017,13120
01,3,Husleie,2018,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2018,13500
01,3,Husleie,2019,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2019,14100
01,3,Husleie,2020,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2020,14810
01,3,Husleie,2021,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2021,14920
01,3,Husleie,2022,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2022,15680
01,3,Husleie,2023,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2023,16790
01,3,Husleie,2024,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2024,17630
01,3,Husleie,2025,Oslo og Bærum kommune,3 rom,Gjennomsnittlig månedlig leie,2025,19030
01,3,Husleiear,2012,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2012,1910
01,3,Husleiear,2013,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2013,2080
01,3,Husleiear,2014,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2014,2120
