ContentsCode_kode,år_kode,bydel_kode,sosialhjelpsmottakere og berørte_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bydel_navn,sosialhjelpsmottakere og berørte_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,8,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Vestre Aker,Berørte ektefeller/samboere,Antall,106
EliminatedValue,0,8,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Vestre Aker,Berørte barn i alt,Antall,232
EliminatedValue,0,8,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Vestre Aker,Barn av par,Antall,111
EliminatedValue,0,8,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Vestre Aker,Barn av enslig forsørger,Antall,121
EliminatedValue,0,9,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordre Aker,Sosialhjelpsmottakere i alt,Antall,1143
EliminatedValue,0,9,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordre Aker,Berørte av sosialhjelp,Antall,1705
EliminatedValue,0,9,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordre Aker,Berørte ektefeller/samboere,Antall,232
EliminatedValue,0,9,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordre Aker,Berørte barn i alt,Antall,330
EliminatedValue,0,9,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordre Aker,Barn av par,Antall,161
EliminatedValue,0,9,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordre Aker,Barn av enslig forsørger,Antall,169
EliminatedValue,0,10,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Bjerke,Sosialhjelpsmottakere i alt,Antall,971
EliminatedValue,0,10,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Bjerke,Berørte av sosialhjelp,Antall,1961
EliminatedValue,0,10,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Bjerke,Berørte ektefeller/samboere,Antall,288
EliminatedValue,0,10,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Bjerke,Berørte barn i alt,Antall,702
EliminatedValue,0,10,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Bjerke,Barn av par,Antall,435
