Region_kode,ContentsCode_kode,Tid_kode,Region_navn,ContentsCode_navn,Tid_navn,verdi
0301,Folketallet11,2006K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2006K1,541822
0301,Folketallet11,2006K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2006K2,544073
0301,Folketallet11,2006K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2006K3,547155
0301,Folketallet11,2006K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2006K4,548617
0301,Folketallet11,2007K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2007K1,551832
0301,Folketallet11,2007K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2007K2,553396
0301,Folketallet11,2007K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2007K3,557052
0301,Folketallet11,2007K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2007K4,560484
0301,Folketallet11,2008K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2008K1,565653
0301,Folketallet11,2008K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2008K2,568809
0301,Folketallet11,2008K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2008K3,573388
0301,Folketallet11,2008K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2008K4,575475
0301,Folketallet11,2009K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2009K1,578870
0301,Folketallet11,2009K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2009K2,580229
0301,Folketallet11,2009K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2009K3,584292
0301,Folketallet11,2009K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2009K4,586860
0301,Folketallet11,2010K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2010K1,590041
0301,Folketallet11,2010K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2010K2,592082
0301,Folketallet11,2010K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2010K3,596923
0301,Folketallet11,2010K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2010K4,599230
0301,Folketallet11,2011K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2011K1,605005
0301,Folketallet11,2011K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2011K2,607292
0301,Folketallet11,2011K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2011K3,611491
0301,Folketallet11,2011K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2011K4,613285
0301,Folketallet11,2012K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2012K1,617242
0301,Folketallet11,2012K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2012K2,618378
0301,Folketallet11,2012K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2012K3,621332
0301,Folketallet11,2012K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2012K4,623966
0301,Folketallet11,2013K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2013K1,626953
0301,Folketallet11,2013K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2013K2,629313
0301,Folketallet11,2013K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2013K3,632990
0301,Folketallet11,2013K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2013K4,634463
0301,Folketallet11,2014K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2014K1,638529
0301,Folketallet11,2014K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2014K2,640313
0301,Folketallet11,2014K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2014K3,645701
0301,Folketallet11,2014K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2014K4,647676
0301,Folketallet11,2015K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2015K1,650733
0301,Folketallet11,2015K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2015K2,652044
0301,Folketallet11,2015K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2015K3,656614
0301,Folketallet11,2015K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2015K4,658390
0301,Folketallet11,2016K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2016K1,660987
0301,Folketallet11,2016K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2016K2,662587
0301,Folketallet11,2016K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2016K3,666691
0301,Folketallet11,2016K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2016K4,666757
0301,Folketallet11,2017K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2017K1,668819
0301,Folketallet11,2017K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2017K2,669060
0301,Folketallet11,2017K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2017K3,672062
0301,Folketallet11,2017K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2017K4,673468
0301,Folketallet11,2018K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2018K1,674736
0301,Folketallet11,2018K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2018K2,676462
0301,Folketallet11,2018K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2018K3,679886
0301,Folketallet11,2018K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2018K4,681067
0301,Folketallet11,2019K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2019K1,683947
0301,Folketallet11,2019K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2019K2,685811
0301,Folketallet11,2019K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2019K3,690335
0301,Folketallet11,2019K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2019K4,693494
0301,Folketallet11,2020K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2020K1,694657
0301,Folketallet11,2020K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2020K2,694086
0301,Folketallet11,2020K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2020K3,697549
0301,Folketallet11,2020K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2020K4,697010
0301,Folketallet11,2021K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2021K1,697028
0301,Folketallet11,2021K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2021K2,696088
0301,Folketallet11,2021K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2021K3,698660
0301,Folketallet11,2021K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2021K4,699827
0301,Folketallet11,2022K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2022K1,702543
0301,Folketallet11,2022K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2022K2,703979
0301,Folketallet11,2022K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2022K3,707531
0301,Folketallet11,2022K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2022K4,709037
0301,Folketallet11,2023K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2023K1,711307
0301,Folketallet11,2023K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2023K2,712092
0301,Folketallet11,2023K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2023K3,716272
0301,Folketallet11,2023K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2023K4,717710
0301,Folketallet11,2024K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2024K1,719852
0301,Folketallet11,2024K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2024K2,720568
0301,Folketallet11,2024K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2024K3,723196
0301,Folketallet11,2024K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2024K4,724290
0301,Folketallet11,2025K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2025K1,725243
0301,Folketallet11,2025K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2025K2,725180
0301,Folketallet11,2025K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2025K3,727797
0301,Folketallet11,2025K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2025K4,728714
0301,Folketallet11,2026K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2026K1,729799
0301,Fodte2,1997K4,Oslo - Oslove,Fødde,1997K4,1809
0301,Fodte2,1998K1,Oslo - Oslove,Fødde,1998K1,1799
0301,Fodte2,1998K2,Oslo - Oslove,Fødde,1998K2,2055
0301,Fodte2,1998K3,Oslo - Oslove,Fødde,1998K3,1985
0301,Fodte2,1998K4,Oslo - Oslove,Fødde,1998K4,1801
0301,Fodte2,1999K1,Oslo - Oslove,Fødde,1999K1,1881
0301,Fodte2,1999K2,Oslo - Oslove,Fødde,1999K2,2019
0301,Fodte2,1999K3,Oslo - Oslove,Fødde,1999K3,2015
0301,Fodte2,1999K4,Oslo - Oslove,Fødde,1999K4,1785
0301,Fodte2,2000K1,Oslo - Oslove,Fødde,2000K1,1911
0301,Fodte2,2000K2,Oslo - Oslove,Fødde,2000K2,2036
0301,Fodte2,2000K3,Oslo - Oslove,Fødde,2000K3,2028
0301,Fodte2,2000K4,Oslo - Oslove,Fødde,2000K4,1885
0301,Fodte2,2001K1,Oslo - Oslove,Fødde,2001K1,1898
