ContentsCode_kode,År_kode,Geografi_kode,Aldersgrupper_kode,Måltall_kode,ContentsCode_navn,År_navn,Geografi_navn,Aldersgrupper_navn,Måltall_navn,verdi
EliminatedValue,0,4,14,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,50-66 år,Personer,4029
EliminatedValue,0,4,15,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,67-74 år,Personer,866
EliminatedValue,0,4,16,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,75-79 år,Personer,402
EliminatedValue,0,4,17,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,80-84 år,Personer,385
EliminatedValue,0,4,18,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,85-89 år,Personer,334
EliminatedValue,0,4,19,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,90 år +,Personer,241
EliminatedValue,0,5,0,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,Alder i alt,Personer,47694
EliminatedValue,0,5,1,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,0 år,Personer,634
EliminatedValue,0,5,2,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,1-2 år,Personer,939
EliminatedValue,0,5,3,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,3-5 år,Personer,955
EliminatedValue,0,5,4,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,6-9 år,Personer,918
EliminatedValue,0,5,5,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,10-12 år,Personer,626
EliminatedValue,0,5,6,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,13-15 år,Personer,650
EliminatedValue,0,5,7,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,16-17 år,Personer,517
EliminatedValue,0,5,8,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,18-19 år,Personer,668
EliminatedValue,0,5,9,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,20-22 år,Personer,2162
EliminatedValue,0,5,10,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,23-24 år,Personer,2094
EliminatedValue,0,5,11,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,25-29 år,Personer,7163
EliminatedValue,0,5,12,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,30-39 år,Personer,10055
EliminatedValue,0,5,13,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,40-49 år,Personer,5792
EliminatedValue,0,5,14,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,50-66 år,Personer,8926
EliminatedValue,0,5,15,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,67-74 år,Personer,2283
EliminatedValue,0,5,16,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,75-79 år,Personer,1117
EliminatedValue,0,5,17,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,80-84 år,Personer,949
